date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-06-29,25.88,29.41,22.71,72.95,6.43,2.46,4.61,0.65,210.9,0.46,0.37,0.35
2014-06-30,27.15,33.13,21.88,66.31,4.78,2.16,3.54,0.99,213.5,0.43,0.37,0.35
2014-07-01,26.98,31.78,22.03,66.16,4.31,1.81,3.12,0.46,206.6,0.43,0.37,0.35
2014-07-02,26.91,32.2,22.33,70.64,8.23,1.8,2.88,0.59,138.6,0.46,0.37,0.36
2014-07-03,27.76,32.7,23.37,67.97,4.87,1.17,2.57,0.38,230.6,0.47,0.38,0.36
2014-07-04,26.65,31.36,23.32,74.26,2.86,3.63,4.39,2.69,241.7,0.43,0.38,0.36
2014-07-05,25.62,30.16,22.06,75.13,4.31,3.98,5.4,2.8,234.7,0.44,0.38,0.36
2014-07-06,25.1,29.9,21.27,77.03,8.54,3.08,5.44,1.25,218.8,0.47,0.38,0.36
2014-07-07,25.79,31.5,20.85,69.77,2.3,3.08,4.7,1.56,214.3,0.44,0.39,0.36
2014-07-08,26.03,30.99,21.17,71.24,7.19,2.14,3.65,0.71,260.5,0.45,0.38,0.36
2014-07-09,25.52,29.21,22.18,76.12,10.97,2.45,3.58,0.77,252.3,0.51,0.39,0.37
2014-07-10,27.14,32.86,21.46,66.91,0.68,1.38,2.85,0.17,223.0,0.44,0.4,0.37
2014-07-11,27.55,32.87,21.97,63.9,0.41,1.94,4.14,0.43,227.8,0.39,0.38,0.37
2014-07-12,27.33,32.7,23.17,66.82,0.35,2.01,3.58,0.14,239.8,0.37,0.38,0.37
2014-07-13,26.98,32.21,22.4,65.41,0.24,1.86,3.3,0.68,215.1,0.36,0.37,0.37
2014-07-14,29.28,35.74,21.88,55.73,0.64,1.66,2.73,0.38,173.0,0.35,0.36,0.36
2014-07-15,29.43,35.45,23.71,59.5,9.1,1.57,3.08,0.2,246.9,0.42,0.36,0.36
2014-07-16,25.51,29.06,22.76,83.07,19.97,2.98,4.14,1.37,229.3,0.56,0.39,0.37
2014-07-17,26.37,32.01,22.24,71.13,4.34,2.24,3.54,1.12,168.0,0.5,0.4,0.38
2014-07-18,25.5,30.19,21.43,76.54,6.85,2.63,4.64,1.38,261.6,0.48,0.4,0.38
2014-07-19,25.62,30.13,21.76,76.31,2.52,2.46,4.38,1.01,251.4,0.45,0.4,0.38
2014-07-20,26.32,31.03,21.82,72.55,0.59,1.94,3.26,0.78,227.8,0.42,0.39,0.38
2014-07-21,27.2,32.42,22.28,68.78,1.45,1.85,3.04,0.95,246.0,0.4,0.39,0.38
2014-07-22,25.16,28.21,22.81,76.85,2.38,2.29,3.27,1.06,264.4,0.41,0.38,0.38
2014-07-23,25.3,29.84,21.56,72.6,1.89,1.84,3.08,0.84,262.4,0.41,0.38,0.38
2014-07-24,25.36,29.56,21.92,73.88,1.98,2.51,3.88,1.8,251.4,0.4,0.38,0.38
2014-07-25,25.66,30.33,21.5,72.44,3.04,2.41,4.47,0.97,238.9,0.41,0.37,0.38
2014-07-26,27.48,33.68,21.89,64.72,0.77,1.81,3.2,0.33,233.0,0.38,0.37,0.38
